,id_sub,tsne: 0,tsne: 1,label
0,519950,4.008053779602051,-1.621285080909729,normal_test
1,103515,2.5475597381591797,-5.097945213317871,normal_test
2,107018,1.798696756362915,2.676100254058838,normal_test
3,766563,6.5750203132629395,1.1226497888565063,normal_test
4,175540,2.7848167419433594,-0.6958920955657959,normal_test
5,933253,0.7255966663360596,1.4090334177017212,normal_test
6,152225,-0.45063096284866333,-1.2875900268554688,normal_test
7,112314,3.4720499515533447,0.6793296337127686,normal_test
8,181131,6.444912910461426,-0.867927074432373,normal_test
9,351938,4.316843032836914,2.598961353302002,normal_test
10,114924,2.1753015518188477,-0.8993579149246216,normal_test
11,150524,2.971660852432251,-0.24512486159801483,normal_test
12,932554,3.939046621322632,1.937354326248169,normal_test
13,131924,3.8481080532073975,-0.44879692792892456,normal_test
14,654754,2.550595283508301,-2.0017850399017334,normal_test
15,683256,6.123291015625,-0.31308555603027344,normal_test
16,116524,4.143805980682373,-3.643829345703125,normal_test
17,414229,5.8511505126953125,-0.3285451829433441,normal_test
18,165032,5.13095235824585,1.4026010036468506,normal_test
19,163836,4.796654224395752,0.457444429397583,normal_test
20,136631,6.5105061531066895,-1.2421815395355225,normal_test
21,140117,2.448606014251709,1.3843363523483276,normal_test
22,837964,2.9541091918945312,-2.646763563156128,normal_test
23,589567,3.9758830070495605,2.636132001876831,normal_test
24,220721,6.191314697265625,0.4580754339694977,normal_test
25,154229,2.1970064640045166,2.8305344581604004,normal_test
26,951457,3.8826632499694824,-2.380227565765381,normal_test
27,108020,3.314605236053467,1.5778347253799438,normal_test
28,558960,3.2141127586364746,2.645766496658325,normal_test
29,397154,6.518910884857178,-1.8041458129882812,normal_test
30,557857,6.32493257522583,0.4359878897666931,normal_test
31,548250,3.722761631011963,-0.9054303169250488,normal_test
32,550439,5.405964374542236,0.07030142843723297,normal_test
33,100307,4.236997127532959,2.1111042499542236,normal_test
34,299760,6.2701592445373535,1.1924915313720703,normal_test
35,392750,5.222038745880127,-1.3182475566864014,normal_test
36,865363,3.3701539039611816,0.813656210899353,normal_test
37,153934,6.5399909019470215,-0.7820072174072266,normal_test
38,193845,2.554351806640625,1.1962374448776245,normal_test
39,926862,6.972264289855957,1.1545919179916382,normal_test
40,611938,3.451641082763672,0.057596053928136826,normal_test
41,727654,5.515456199645996,1.628670334815979,normal_test
42,869472,5.601001262664795,1.1573822498321533,normal_test
43,955465,4.57017707824707,-1.5291818380355835,normal_test
44,468050,-2.288567304611206,-6.751728057861328,normal_test
45,203418,5.34041166305542,0.9055944085121155,normal_test
46,116221,4.635169506072998,1.8082841634750366,normal_test
47,922854,0.6713302731513977,1.3563964366912842,normal_test
48,309636,5.107444763183594,-2.484177350997925,normal_test
49,194443,4.432621955871582,-0.29011067748069763,normal_test
50,969476,-0.9422907829284668,-5.4915008544921875,benchmark
51,116726,-0.5009264349937439,-4.535259246826172,benchmark
52,771354,-1.4506332874298096,-4.223133087158203,benchmark
53,156031,-0.3816777765750885,-3.9971556663513184,benchmark
54,188145,-2.053346872329712,-5.492712020874023,benchmark
55,601127,1.2248542308807373,-3.9168124198913574,benchmark
56,307127,-0.6840230226516724,-3.0186612606048584,benchmark
57,163331,-2.1176698207855225,-5.2958807945251465,benchmark
58,317332,-1.0380300283432007,-4.382194519042969,benchmark
59,211821,-0.4869794547557831,-6.634491443634033,benchmark
60,257946,0.6923608183860779,-5.283146858215332,benchmark
61,194746,-2.756472110748291,-4.538210868835449,benchmark
62,206828,-1.9730279445648193,-6.307923316955566,benchmark
63,161731,-0.150691956281662,-6.661709308624268,benchmark
64,199352,0.34483686089515686,-6.75251579284668,benchmark
65,685058,0.954346776008606,-5.0006914138793945,benchmark
66,148133,-2.241466999053955,-4.570675849914551,benchmark
67,274542,1.5575807094573975,-5.829201698303223,benchmark
68,346137,0.5106212496757507,-3.2414541244506836,benchmark
69,114217,1.9356714487075806,-4.9839324951171875,benchmark
70,891667,1.467639446258545,-7.4014201164245605,benchmark
71,176239,-0.36221015453338623,-7.747488498687744,benchmark
72,149842,-0.9139371514320374,-5.667998790740967,benchmark
73,362034,0.6468619108200073,-2.5718460083007812,benchmark
74,275645,-1.1445231437683105,-6.975369930267334,benchmark
75,255740,-2.6448075771331787,-3.7810165882110596,benchmark
76,117021,-0.28810200095176697,-5.785281658172607,benchmark
77,627549,-1.3384088277816772,-4.236719608306885,benchmark
78,971160,-1.6987169981002808,-2.979238748550415,benchmark
79,978578,-1.1476203203201294,-3.388418674468994,benchmark
80,376247,-1.3056570291519165,-2.9595375061035156,benchmark
81,106521,-0.08704070001840591,-3.7143759727478027,benchmark
82,905147,-2.7002601623535156,-5.98430061340332,benchmark
83,175439,-2.631437301635742,-3.8617897033691406,benchmark
84,952863,-0.4384442865848541,-7.0268168449401855,benchmark
85,101006,0.7375807762145996,-7.121620178222656,benchmark
86,143224,0.9781768918037415,-3.2249796390533447,benchmark
87,135730,-1.5095850229263306,-6.168514251708984,benchmark
88,176744,0.007458940148353577,-5.143932342529297,benchmark
89,983773,1.0081058740615845,-3.922139883041382,benchmark
90,117930,-0.43707314133644104,-3.696040153503418,benchmark
91,146634,-1.572460412979126,-4.654266357421875,benchmark
92,613538,-1.1694730520248413,-4.794548034667969,benchmark
93,130922,0.33284053206443787,-4.350127696990967,benchmark
94,177241,-0.37954795360565186,-5.60807991027832,benchmark
95,568963,-3.3889451026916504,-5.105264663696289,benchmark
96,180533,0.5120453834533691,-5.497842788696289,benchmark
97,194847,0.8093448877334595,-6.2905073165893555,benchmark
